scope,resulttype,,METHOD or VARIABLE,ARGUMENTS,FSnode,FSnode_local,FSnode_ftp,FSnode_dropbox,Required by:,FSfile,FSbrowser,FSmirror
public,float,::,disk_total_space,directory?,as local,inherit,DUMMY,,,,LINE 138 REQUIRED,
,,,,,,,,,,,,
public,bool,::,file_exists,filename,as local,inherit,YES,,,,REQUIRED,REQUIRED
public,string,::,file_get_contents,filename,as local,inherit,ALIAS,,,,,
public,int,::,file_put_contents,"filename, data, flags",as local,inherit,ALIAS,,,,,
public,array,::,file,"filename, flags",as local,inherit,ALIAS,,,,,
,,,,,,,,,,,,
public,int,::,fileatime,filename,as local,inherit,ALIAS,,,,LINE 138 REQUIRED,
public,int,::,filectime,filename,as local,inherit,ALIAS,,,,LINE 138 REQUIRED,
public,int,::,filegroup,filename,as local,inherit,UNDER CONSTRUCTION,,,,REQUIRED,SUGGESTED
public,int,::,fileinode,filename,as local,inherit,DUMMY,,,,LINE 138 REQUIRED,
public,int,::,filemtime,filename,as local,inherit,YES,,,,REQUIRED,SUGGESTED
public,int,::,fileowner,filename,as local,inherit,UNDER CONSTRUCTION,,,,REQUIRED,SUGGESTED
public,int,::,fileperms,filename,as local,inherit,UNDER CONSTRUCTION,,,,REQUIRED,SUGGESTED
public,int,::,filesize,filename,as local,inherit,YES,,,,REQUIRED,SUGGESTED
public,int,::,filetype,filename,as local,inherit,DUMMY,,,,,
,,,,,,,,,,,,
public,bool,::,is_dir,filename,as local,inherit,UNDER CONSTRUCTION,,,,REQUIRED,REQUIRED
public,bool,::,is_executable,filename,as local,inherit,UNDER CONSTRUCTION,,,,LINE 138 REQUIRED,SUGGESTED
public,bool,::,is_file,filename,as local,inherit,UNDER CONSTRUCTION,,,,LINE 138 REQUIRED,REQUIRED
public,bool,::,is_link,filename,NO,,UNDER CONSTRUCTION,,,,,
public,bool,::,is_readable,filename,as local,inherit,UNDER CONSTRUCTION,,,,LINE 138 REQUIRED,SUGGESTED
public,bool,::,is_uploaded_file,filename,NO,,,,,,,
public,bool,::,is_writable,filename,as local,inherit,UNDER CONSTRUCTION,,,,,SUGGESTED
public,bool,::,is_writeable,filename,ALIAS,inherit,ALIAS,,,,LINE 138 REQUIRED,
,,,,,,,,,,,,
public,bool,::,is_connected,-,DUMMY,YES,YES,,,,REQUIRED,
,,,,,,,,,,,,
public,bool,::,mkdir,"pathname, mode, recursive",as local,inherit,YES,,,,,SUGGESTED
public,bool,::,rename,"old, new",as local,inherit,YES,,,,,
public,bool,::,rmdir,dirname,as local,inherit,YES,,,,,REQUIRED
public,array,::,stat,filename,as local,inherit,DUMMY,,,,LINE 138 REQUIRED,
public,bool,::,touch,"filename, time, atime",as local,inherit,UNDER CONSTRUCTION,,,,,SUGGESTED
public,bool,::,unlink,filename,as local,inherit,ALIAS,,,,,REQUIRED
,,,,,,,,,,,,
DIRECTORY HANDLER FUNCTIONS,,,,,,,,,,,,
public,array,::,scandir,"directory, sorting order",as local,inherit,YES,,,,REQUIRED,YES + REQUIRED
public,string,::,realpath,filename,as local,inherit,YES,,,,REQUIRED,
public,string,::,realpath_URI,filename,as local,inherit,inherit,,,,REQUIRED,
public,string,::,relativepath,URI,as local,inherit,inherit,,,,REQUIRED,
,string,::,_filename_attach_prefix,filename,as local,inherit,inherit,,,,,
,,,,,,,,,,,,
GENERIC HANDLER FUNCTIONS,,,,,,,,,,,,
public,bool,::,close,-,as local,inherit,YES,,,YES,,YES
public,bool,::,connect,"?, ?, ?, ?, timeout, secure",as local,inherit,YES,,,YES,YES + REQUIRED,YES
public,string,::,read,filename,as local,inherit,YES,,,UNDER CONSTRUCTION + REQUIRED,,REQUIRED
public,int,::,write,"filename, data",as local,inherit,YES,,,UNDER CONSTRUCTION + REQUIRED,,REQUIRED
public,class FSfile,::,get,filename,as local,inherit,inherit,,,,,
public,bool,::,put,"(object), filename",as local,inherit,inherit,,,,,
public,bool,::,delete,filename,as local,inherit,YES,,,,,
public,array,::,scan,"directory, sorting order",as local,inherit,ALIAS,,,,,
public,mixed,::,execute,line,as local,inherit,NO,,,,,
public,bool,::,refresh,tag?,as local,inherit,NO,,,,,
public,string,::,mime_content_type,filename,as local,inherit,inherit,,,,REQUIRED,
public,bool,::,open,"URI, refesh",NO,,,,,YES,,
public,int,::,save,as,NO,,,,,YES,,
,,,,,,,,,,,,
GLOBAL FUNCTIONS,,,,,,,,,,,,
global,octal,::,rights2fileperms,rights,YES,inherit,inherit,,,,,
global,string,::,fileperms2rights,perms,YES,inherit,inherit,,,,,
,,,,,,,,,,,,
EXPERIMENTAL and ASSISTING FUNCTIONS,,,,,,,,,,,,
private,bool,::,_perms_analyse,,NO,NO,YES,,,,,
,mixed,::,rawlist,,NO,NO,YES,,,,LINE 138 REQUIRED,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HIGHER LEVEL OBJECT FUNCTIONS,,,,,,,,,,,,
,,::,getURI_by_SESSION_and_PREFIX,,,,,,,,YES,
,,::,build,,,,,,,,YES,
,,::,build_label,,,,,,,,YES,
,,::,build_connect,,,,,,,,YES,
,,::,build_URI_info,,,,,,,,YES,
private,,::,_bool_toString,,,,,,,,YES,
private,,::,_humanizeFileSize,,,,,,,,YES,
,,,,,,,,,,,,
public,,::,ignore,,,,,,,,,YES
,,::,get_local,,,,,,,,,YES
,,::,get_remote,,,,,,,,,YES
private,,::,_push_or_pull,,,,,,,,,YES
,,::,push,,,,,,,,,YES
,,::,pull,,,,,,,,,YES
,,::,sync,,,,,,,,,YES
,,::,compare,,,,,,,,,YES
private,,::,_generate_filename,,,,,,,,,YES
private,,::,_preg_array_match,,,,,,,,,YES
